Name,Level,School,Ritual,Casting Time,Range,Type:Size,Components,concentration,Duration,Description,Attack Type,Type,Level:Amount_damage,Level:Amout_heal,Characteristic
Acid-arrow,2,Evocation,No_Ritual,1 action,90 feet,No_AreaEffect,V/S/M,No_Concentration,Instantaneous,A shimmering green arrow streaks toward a target within range and bursts in a spray of acid. Make a ranged spell attack against the target. On a hitthe target takes 4d4 acid damage immediately and 2d4 acid damage at the end of its next turn. On a missthe arrow splashes the target with acid for half as much of the initial damage and no damage at the end of its next turn.,Ranged,Acid,2:4d4/3:5d4/4:6d4/5:7d4/6:8d4/7:9d4/8:10d4/9:11d4,No_Heal,No_SavingThrow
Acid-splash,0,Conjuration,No_Ritual,1 action,60 feet,No_AreaEffect,V/S,No_Concentration,Instantaneous,You hurl a bubble of acid. Choose one creature within rangeor choose two creatures within range that are within 5 feet of each other. A target must succeed on a dexterity saving throw or take 1d6 acid damage.This spell's damage increases by 1d6 when you reach 5th level (2d6)11th level (3d6)and 17th level (4d6).,No_AttackType,Acid,1:1d6/5:2d6/11:3d6/17:4d6,No_Heal,DEX
Aid,2,Abjuration,No_Ritual,1 action,30 feet,No_AreaEffect,V/S/M,No_Concentration,8 hours,Your spell bolsters your allies with toughness and resolve. Choose up to three creatures within range. Each target's hit point maximum and current hit points increase by 5 for the duration.,No_AttackType,No_Damage,2:5/3:10/4:15/5:20/6:25/7:30/8:35/9:40,No_SavingThrow
Alarm,1,Abjuration,Ritual,1 minute,30 feet,Cube:20,V/S/M,No_Concentration,8 hours,You set an alarm against unwanted intrusion. Choose a doora windowor an area within range that is no larger than a 20-foot cube. Until the spell endsan alarm alerts you whenever a Tiny or larger creature touches or enters the warded area. When you cast the spellyou can designate creatures that won't set off the alarm. You also choose whether the alarm is mental or audible.A mental alarm alerts you with a ping in your mind if you are within 1 mile of the warded area. This ping awakens you if you are sleeping.An audible alarm produces the sound of a hand bell for 10 seconds within 60 feet.,No_AttackType,No_Damage,No_Heal,No_SavingThrow
Alter-self,2,Transmutation,No_Ritual,1 action,Self,No_AreaEffect,V/S,concentration,Up to 1 hour,You assume a different form. When you cast the spellchoose one of the following optionsthe effects of which last for the duration of the spell. While the spell lastsyou can end one option as an action to gain the benefits of a different one.***Aquatic Adaptation.*** You adapt your body to an aquatic environmentsprouting gills and growing webbing between your fingers. You can breathe underwater and gain a swimming speed equal to your walking speed.***Change Appearance.*** You transform your appearance. You decide what you look likeincluding your heightweightfacial featuressound of your voicehair lengthcolorationand distinguishing characteristicsif any. You can make yourself appear as a member of another racethough none of your statistics change. You also can't appear as a creature of a different size than youand your basic shape stays the same; if you're bipedalyou can't use this spell to become quadrupedalfor instance. At any time for the duration of the spellyou can use your action to change your appearance in this way again.***Natural Weapons.*** You grow clawsfangsspineshornsor a different natural weapon of your choice. Your unarmed strikes deal 1d6 bludgeoningpiercingor slashing damageas appropriate to the natural weapon you choseand you are proficient with your unarmed strikes. Finallythe natural weapon is magic and you have a +1 bonus to the attack and damage rolls you make using it.,No_AttackType,No_Damage,No_Heal,No_SavingThrow
Animal-friendship,1,Enchantment,No_Ritual,1 action,30 feet,No_AreaEffect,V/S/M,No_Concentration,24 hours,This spell lets you convince a beast that you mean it no harm. Choose a beast that you can see within range. It must see and hear you. If the beast's Intelligence is 4 or higherthe spell fails. Otherwisethe beast must succeed on a wisdom saving throw or be charmed by you for the spell's duration. If you or one of your companions harms the targetthe spells ends.,No_AttackType,No_Damage,No_Heal,WIS
Animal-messenger,2,Enchantment,Ritual,1 action,30 feet,No_AreaEffect,V/S/M,No_Concentration,24 hours,By means of this spellyou use an animal to deliver a message. Choose a Tiny beast you can see within rangesuch as a squirrela blue jayor a bat. You specify a locationwhich you must have visitedand a recipient who matches a general descriptionsuch as "a man or woman dressed in the uniform of the town guard" or "a red-haired dwarf wearing a pointed hat." You also speak a message of up to twenty-five words. The target beast travels for the duration of the spell toward the specified locationcovering about 50 miles per 24 hours for a flying messengeror 25 miles for other animals.When the messenger arrivesit delivers your message to the creature that you describedreplicating the sound of your voice. The messenger speaks only to a creature matching the description you gave. If the messenger doesn't reach its destination before the spell endsthe message is lostand the beast makes its way back to where you cast this spell.,No_AttackType,No_Damage,No_Heal,No_SavingThrow
Animal-shapes,8,Transmutation,No_Ritual,1 action,30 feet,No_AreaEffect,V/S,concentration,Up to 24 hours,Your magic turns others into beasts. Choose any number of willing creatures that you can see within range. You transform each target into the form of a Large or smaller beast with a challenge rating of 4 or lower. On subsequent turnsyou can use your action to transform affected creatures into new forms.The transformation lasts for the duration for each targetor until the target drops to 0 hit points or dies. You can choose a different form for each target. A target's game statistics are replaced by the statistics of the chosen beastthough the target retains its alignment and IntelligenceWisdomand Charisma scores. The target assumes the hit points of its new formand when it reverts to its normal formit returns to the number of hit points it had before it transformed. If it reverts as a result of dropping to 0 hit pointsany excess damage carries over to its normal form. As long as the excess damage doesn't reduce the creature's normal form to 0 hit pointsit isn't knocked unconscious. The creature is limited in the actions it can perform by the nature of its new formand it can't speak or cast spells.The target's gear melds into the new form. The target can't activatewieldor otherwise benefit from any of its equipment.,No_AttackType,No_Damage,No_Heal,No_SavingThrow
Animate-dead,3,Necromancy,No_Ritual,1 minute,10 feet,No_AreaEffect,V/S/M,No_Concentration,Instantaneous,This spell creates an undead servant. Choose a pile of bones or a corpse of a Medium or Small humanoid within range. Your spell imbues the target with a foul mimicry of liferaising it as an undead creature. The target becomes a skeleton if you chose bones or a zombie if you chose a corpse (the GM has the creature's game statistics).On each of your turnsyou can use a bonus action to mentally command any creature you made with this spell if the creature is within 60 feet of you (if you control multiple creaturesyou can command any or all of them at the same timeissuing the same command to each one). You decide what action the creature will take and where it will move during its next turnor you can issue a general commandsuch as to guard a particular chamber or corridor. If you issue no commandsthe creature only defends itself against hostile creatures. Once given an orderthe creature continues to follow it until its task is complete.The creature is under your control for 24 hoursafter which it stops obeying any command you've given it. To maintain control of the creature for another 24 hoursyou must cast this spell on the creature again before the current 24-hour period ends. This use of the spell reasserts your control over up to four creatures you have animated with this spellrather than animating a new one.,No_AttackType,No_Damage,No_Heal,No_SavingThrow
Animate-objects,5,Transmutation,No_Ritual,1 action,120 feet,No_AreaEffect,V/S,concentration,Up to 1 minute,Objects come to life at your command. Choose up to ten nonmagical objects within range that are not being worn or carried. Medium targets count as two objectsLarge targets count as four objectsHuge targets count as eight objects. You can't animate any object larger than Huge. Each target animates and becomes a creature under your control until the spell ends or until reduced to 0 hit points.As a bonus actionyou can mentally command any creature you made with this spell if the creature is within 500 feet of you (if you control multiple creaturesyou can command any or all of them at the same timeissuing the same command to each one). You decide what action the creature will take and where it will move during its next turnor you can issue a general commandsuch as to guard a particular chamber or corridor. If you issue no commandsthe creature only defends itself against hostile creatures. Once given an orderthe creature continues to follow it until its task is complete.##### Animated Object Statistics| Size | HP | AC | Attack | Str | Dex ||---|---|---|---|---|---|| Tiny | 20 | 18 | +8 to hit1d4 + 4 damage | 4 | 18 || Small | 25 | 16 | +6 to hit1d8 + 2 damage | 6 | 14 || Medium | 40 | 13 | +5 to hit2d6 + 1 damage | 10 | 12 || Large | 50 | 10 | +6 to hit2d10 + 2 damage | 14 | 10 || Huge | 80 | 10 | +8 to hit2d12 + 4 damage | 18 | 6 |An animated object is a construct with AChit pointsattacksStrengthand Dexterity determined by its size. Its Constitution is 10 and its Intelligence and Wisdom are 3and its Charisma is 1. Its speed is 30 feet; if the object lacks legs or other appendages it can use for locomotionit instead has a flying speed of 30 feet and can hover. If the object is securely attached to a surface or a larger objectsuch as a chain bolted to a wallits speed is 0. It has blindsight with a radius of 30 feet and is blind beyond that distance. When the animated object drops to 0 hit pointsit reverts to its original object formand any remaining damage carries over to its original object form.If you command an object to attackit can make a single melee attack against a creature within 5 feet of it. It makes a slam attack with an attack bonus and bludgeoning damage determined by its size. The GM might rule that a specific object inflicts slashing or piercing damage based on its form.,No_AttackType,No_Damage,No_Heal,No_SavingThrow
Antilife-shell,5,Abjuration,No_Ritual,1 action,Self,Sphere:10,V/S,concentration,Up to 1 hour,A shimmering barrier extends out from you in a 10-foot radius and moves with youremaining centered on you and hedging out creatures other than undead and constructs. The barrier lasts for the duration.The barrier prevents an affected creature from passing or reaching through. An affected creature can cast spells or make attacks with ranged or reach weapons through the barrier.If you move so that an affected creature is forced to pass through the barrierthe spell ends.,No_AttackType,No_Damage,No_Heal,No_SavingThrow
Antimagic-field,8,Abjuration,No_Ritual,1 action,Self,Sphere:10,V/S/M,concentration,Up to 1 hour,A 10-foot-radius invisible sphere of antimagic surrounds you. This area is divorced from the magical energy that suffuses the multiverse. Within the spherespells can't be castsummoned creatures disappearand even magic items become mundane. Until the spell endsthe sphere moves with youcentered on you.Spells and other magical effectsexcept those created by an artifact or a deityare suppressed in the sphere and can't protrude into it. A slot expended to cast a suppressed spell is consumed. While an effect is suppressedit doesn't functionbut the time it spends suppressed counts against its duration.***Targeted Effects.*** Spells and other magical effectssuch as magic missile and charm personthat target a creature or an object in the sphere have no effect on that target.***Areas of Magic.*** The area of another spell or magical effectsuch as fireballcan't extend into the sphere. If the sphere overlaps an area of magicthe part of the area that is covered by the sphere is suppressed. For examplethe flames created by a wall of fire are suppressed within the spherecreating a gap in the wall if the overlap is large enough.***Spells.*** Any active spell or other magical effect on a creature or an object in the sphere is suppressed while the creature or object is in it.***Magic Items.*** The properties and powers of magic items are suppressed in the sphere. For examplea +1 longsword in the sphere functions as a nonmagical longsword.A magic weapon's properties and powers are suppressed if it is used against a target in the sphere or wielded by an attacker in the sphere. If a magic weapon or a piece of magic ammunition fully leaves the sphere (for exampleif you fire a magic arrow or throw a magic spear at a target outside the sphere)the magic of the item ceases to be suppressed as soon as it exits.***Magical Travel.*** Teleportation and planar travel fail to work in the spherewhether the sphere is the destination or the departure point for such magical travel. A portal to another locationworldor plane of existenceas well as an opening to an extradimensional space such as that created by the rope trick spelltemporarily closes while in the sphere.***Creatures and Objects.*** A creature or object summoned or created by magic temporarily winks out of existence in the sphere. Such a creature instantly reappears once the space the creature occupied is no longer within the sphere.***Dispel Magic.*** Spells and magical effects such as dispel magic have no effect on the sphere. Likewisethe spheres created by different antimagic field spells don't nullify each other.,No_AttackType,No_Damage,No_Heal,No_SavingThrow
